what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659483887
started,bundle,org.eclipse.apache.ode.processManagement,1.0.0.201509221212,"org.eclipse.apache.ode.processManagement",1481659483919
executed,command,org.eclipse.apache.ode.processManagement,1.0.0.201509221212,"org.eclipse.apache.ode.processManagement.refresh",1481659486476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659486596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659486630
executed,command,org.eclipse.bpel.ui,0.8.0.201509221212,"org.eclipse.bpel.ui.startActiveMQ",1481659488541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659488656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659488683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659495593
executed,command,de.unistuttgart.iaas.eclipse.docker,1.0.0.201607141247,"de.unistuttgart.iaas.docker.runContainer",1481659495668
started,bundle,org.eclipse.bpel.apache.ode.deploy.model,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.model",1481659502829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659502965
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1481659504523
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1481659504540
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659520401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659524929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481659527708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659528960
started,bundle,org.eclipse.jst.common.frameworks,1.1.404.v201103311600,"org.eclipse.jst.common.frameworks",1481659533964
started,bundle,org.eclipse.wst.dtd.core,1.1.402.v201109061850,"org.eclipse.wst.dtd.core",1481659534164
started,bundle,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.ui",1481659534175
started,bundle,org.eclipse.bpel.validator,0.8.0.201509221212,"org.eclipse.bpel.validator",1481659534228
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1481659534233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659556819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481659575110
