what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669253364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669253969
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669254093
executed,command,org.eclipse.bpel.ui,0.8.0.201509221212,"org.eclipse.bpel.ui.startActiveMQ",1481669254178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669254450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669254555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669257447
executed,command,de.unistuttgart.iaas.eclipse.docker,1.0.0.201607141247,"de.unistuttgart.iaas.docker.runContainer",1481669257558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669263028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669265167
error,log,,,"Unhandled event loop exception",1481669268080
activated,view,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.pde.runtime.LogView",1481669268150
error,log,,,"Unhandled event loop exception",1481669268353
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1481669273310
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1481669273329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669275132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669276247
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481669276633
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1481669277146
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1481669277148
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1481669277150
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1481669277153
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1481669277154
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1481669277155
stopped,bundle,org.eclipse.bpel.apache.ode.runtime,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.runtime",1481669277156
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1481669277160
stopped,bundle,org.eclipse.bpel.jboss.riftsaw.runtime,0.8.0.201509221212,"org.eclipse.bpel.jboss.riftsaw.runtime",1481669277162
