what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1481806527887
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1481806527887
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1481806527888
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1481806527888
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1481806527888
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1481806527889
started,bundle,org.eclipse.wst.wsdl,1.2.105.v201108291616,"org.eclipse.wst.wsdl",1481806527889
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1481806527890
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1481806527890
started,bundle,org.eclipse.wst.xsd.ui,1.2.305.v201104132127,"org.eclipse.wst.xsd.ui",1481806527893
os,sysinfo,,,"macosx",1481806527899
arch,sysinfo,,,"x86_64",1481806527899
ws,sysinfo,,,"cocoa",1481806527899
locale,sysinfo,,,"de_DE",1481806527899
processors,sysinfo,,,"4",1481806527899
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1481806527899
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1481806527899
java.specification.name,sysinfo,,,"Java Platform API Specification",1481806527899
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1481806527899
java.specification.version,sysinfo,,,"1.6",1481806527899
java.vendor,sysinfo,,,"Apple Inc.",1481806527899
java.version,sysinfo,,,"1.6.0_65",1481806527899
java.vm.info,sysinfo,,,"mixed mode",1481806527899
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1481806527899
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1481806527899
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1481806527899
java.vm.specification.version,sysinfo,,,"1.0",1481806527899
java.vm.vendor,sysinfo,,,"Apple Inc.",1481806527899
java.vm.version,sysinfo,,,"20.65-b04-468",1481806527899
started,bundle,de.unistuttgart.iaas.eclipse.docker,1.0.0.201607141247,"de.unistuttgart.iaas.eclipse.docker",1481806539024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806539058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806542036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806543109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806546770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806550453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806575166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806575204
started,bundle,org.eclipse.apache.ode.processManagement,1.0.0.201509221212,"org.eclipse.apache.ode.processManagement",1481806575249
executed,command,org.eclipse.apache.ode.processManagement,1.0.0.201509221212,"org.eclipse.apache.ode.processManagement.refresh",1481806577858
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806577985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806578020
executed,command,org.eclipse.bpel.ui,0.8.0.201509221212,"org.eclipse.bpel.ui.startActiveMQ",1481806581029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806581130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806581163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806595911
executed,command,de.unistuttgart.iaas.eclipse.docker,1.0.0.201607141247,"de.unistuttgart.iaas.docker.runContainer",1481806595986
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481806610509
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1481806611384
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1481806611388
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1481806611400
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1481806614360
opened,editor,org.eclipse.bpel.ui,0.8.0.201509221212,"org.eclipse.bpel.ui.bpeleditor",1481806614850
started,bundle,org.eclipse.bpel.validator,0.8.0.201509221212,"org.eclipse.bpel.validator",1481806615976
activated,editor,org.eclipse.bpel.ui,0.8.0.201509221212,"org.eclipse.bpel.ui.bpeleditor",1481806615984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806708273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806720212
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806842842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806857816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806977853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806983631
started,bundle,org.eclipse.bpel.apache.ode.deploy.model,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.model",1481806990403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481806990512
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1481806991718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1481806998160
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481806998895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807000153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807003257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807005357
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481807010409
activated,editor,org.eclipse.bpel.ui,0.8.0.201509221212,"org.eclipse.bpel.ui.bpeleditor",1481807010651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807020097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807021454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807021548
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807022257
executed,command,de.unistuttgart.iaas.eclipse.docker,1.0.0.201607141247,"de.unistuttgart.iaas.docker.runContainer",1481807022341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807023632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1481807026867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1481807027421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807028668
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807030532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807053403
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481807060305
started,bundle,org.eclipse.wst.wsdl.ui,1.2.306.v201106290347,"org.eclipse.wst.wsdl.ui",1481807060520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807060738
opened,editor,org.eclipse.wst.wsdl.ui,1.2.306.v201106290347,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1481807060968
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1481807061055
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1481807061063
activated,editor,org.eclipse.wst.wsdl.ui,1.2.306.v201106290347,"org.eclipse.wst.wsdl.ui.internal.WSDLEditor",1481807061098
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1481807061632
started,bundle,org.eclipse.wst.wsdl.validation,1.1.501.v201004201506,"org.eclipse.wst.wsdl.validation",1481807061685
started,bundle,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui",1481807061850
started,bundle,org.eclipse.wst.wsi,1.0.400.v201004220210,"org.eclipse.wst.wsi",1481807062264
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1481807062271
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1481807062274
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1481807062281
opened,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1481807062421
activated,editor,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201509221212,"org.eclipse.bpel.apache.ode.deploy.ui.editors.ODEDeployMultiPageEditor",1481807062479
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807068057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1481807070984
